t [days], x [Au], y [Au], z [Au]
3775.5,0.629379411641566,6.066944501729998,0.0
3776.0,0.6239628315427915,6.068334966267408,0.0
3776.5,0.6185433856990342,6.069711071032912,0.0
3777.0,0.6131211115823445,6.0710728053521255,0.0
3777.5,0.6076960467094606,6.0724201586442845,0.0
3778.0,0.6022682286416047,6.0737531204224435,0.0
3778.5,0.5968376949842773,6.075071680293672,0.0
3779.0,0.5914044833870528,6.076375827959267,0.0
3779.5,0.5859686315433716,6.077665553214938,0.0
3780.0,0.5805301771903335,6.078940845951024,0.0
3780.5,0.5750891581084885,6.08020169615268,0.0
3781.0,0.5696456121216277,6.081448093900088,0.0
3781.5,0.5641995770965729,6.082680029368648,0.0
3782.0,0.5587510909429647,6.083897492829183,0.0
3782.5,0.5533001916130512,6.085100474648138,0.0
3783.0,0.5478469171014739,6.086288965287776,0.0
3783.5,0.5423913054450537,6.0874629553063775,0.0
3784.0,0.5369333947225756,6.088622435358441,0.0
3784.5,0.5314732230545736,6.08976739619488,0.0
3785.0,0.5260108286031119,6.09089782866322,0.0
3785.5,0.5205462495715684,6.0920137237077965,0.0
3786.0,0.5150795242044149,6.093115072369954,0.0
3786.5,0.5096106907869978,6.094201865788238,0.0
3787.0,0.5041397876453164,6.095274095198599,0.0
3787.5,0.49866685314580156,6.09633175193458,0.0
3788.0,0.4931919256950931,6.0973748274275215,0.0
3788.5,0.48771504373981545,6.09840331320675,0.0
3789.0,0.48223624576635327,6.099417200899777,0.0
3789.5,0.47675557030062576,6.100416482232494,0.0
3790.0,0.47127305590785973,6.101401149029364,0.0
3790.5,0.4657887411923623,6.10237119321362,0.0
3791.0,0.460302664797292,6.103326606807456,0.0
3791.5,0.4548148654044293,6.10426738193222,0.0
3792.0,0.44932538173394615,6.105193510808613,0.0
3792.5,0.44383425254417425,6.106104985756873,0.0
3793.0,0.4383415166313727,6.107001799196973,0.0
3793.5,0.43284721282949445,6.107883943648814,0.0
3794.0,0.42735138000995193,6.108751411732414,0.0
3794.5,0.42185405708138146,6.1096041961681,0.0
3795.0,0.4163552829894071,6.110442289776698,0.0
3795.5,0.410855096716403,6.111265685479728,0.0
3796.0,0.40535353728125517,6.112074376299586,0.0
3796.5,0.39985064373912205,6.112868355359745,0.0
3797.0,0.3943464551811943,6.113647615884932,0.0
3797.5,0.38884101073445343,6.114412151201328,0.0
3798.0,0.3833343495614294,6.115161954736746,0.0
3798.5,0.3778265108599576,6.115897020020831,0.0
3799.0,0.3723175338629341,6.116617340685235,0.0
3799.5,0.36680745783807095,6.117322910463815,0.0
3800.0,0.36129632208764967,6.118013723192814,0.0
3800.5,0.35578416594827383,6.118689772811048,0.0
3801.0,0.3502710287906213,6.119351053360092,0.0
3801.5,0.34475695001919454,6.119997558984469,0.0
3802.0,0.3392419690720708,6.1206292839318275,0.0
3802.5,0.33372612542065067,6.121246222553135,0.0
3803.0,0.3282094585694061,6.121848369302854,0.0
